year,workingAgesFemaleIndia,totalBranches,selfEmploymentIndia,mfiMarketshare,employmentRateWorld,employmentRateIndia,annapurnaBorrowers,annapurnaBranches,annapurnaAverageLoanSize,annapurnaExpensePerBorrower,annapurnaBorrowersPerBranch,chaitanyaBorrowers,chaitanyaBranches,chaitanyaAverageLoanSize,chaitanyaExpensePerBorrower,chaitanyaBorrowersPerBranch,muthootBorrowers,muthootBranches,muthootAverageLoanSize,muthootExpensePerBorrower,muthootBorrowersPerBranch,belstarBorrowers,belstarBranches,satinBorrowers,satinBranches,satinAverageLoanSize,satinExpensePerBorrower,satinBorrowersPerBranch,creditaccessBorrowers,creditaccessBranches,creditaccessAverageLoanSize,creditaccessBorrowersPerBranch,asirvadBorrowers,asirvadBranches,spandanassphoortyBorrowers,spandanassphoortyBranches,spandanassphoortyAverageLoanSize,spandanassphoortyExpensePerBorrower,spandanassphoortyBorrowersPerBranch,fusionfinanceBorrowers,fusionfinanceBranches,fusionfinanceAverageLoanSize,fusionfinanceExpensePerBorrower,fusionfinanceBorrowersPerBranch,bandhanBorrowers,bandhanBranches
2024,531671466.65789473,29338.82424242425,77.45344384414639,51.962836600812814,43.71696935,31.3496812,2583115.03030302,1383.3333333333335,0.0025432626585320346,0.08079866679731018,2077.4750633981403,1399220.1958041955,745.6713286713286,0.004077729462155557,0.08442708988574196,1998.951953128902,3432714.285714228,1201.9285714285718,0.0022317515727181478,0.04983510263177586,2366.0409556313994,2527263.696428571,864.7142857142856,1989304.80952381,1626.6944444444448,0.00346303664140633,0.06385257376931129,1323.2414506083032,5121182.568181818,2273.181818181819,0.004351877934272301,2385.2183650615902,3571659.090909091,1475.8545454545456,2260000.0,782.8000000000127,0.0035950884955752212,0.08245044247787611,1960.1040763226365,4121076.416666666,1089.5714285714287,0.002435158640226629,0.051475653218827355,3054.731645395827,3391071.428571428,1701.4285714285602
2025,539532258.8278196,33071.7090909091,78.92785747350315,53.82288210666902,43.71696935,31.3496812,2650848.5407925285,1588.0666666666666,0.002682538718041114,0.09008548914051723,2077.4750633981403,1685896.5984015982,895.1348651348651,0.004622689466827979,0.10258207020977797,2052.484461553246,4527261.904761819,1326.6071428571433,0.0021891141626490937,0.053381695811832316,2366.0409556313994,2970292.863095237,921.8809523809522,1382704.8285714288,1757.077777777778,0.003952361589862223,0.07099436277740809,1003.6089693418921,5776170.309440561,2688.349650349651,0.004351877934272301,2385.2183650615902,3987547.2027972033,1606.1181818181822,2260000.0,249.98181818183616,0.0035950884955752212,0.08245044247787611,1960.1040763226365,4847721.013636363,1281.6142857142859,0.002435158640226629,0.05520163054138974,2782.433566288768,3792023.809523808,2134.4999999999827
2026,547351314.6019822,37149.78741258742,80.84586035126482,55.68292761252522,43.71696935,31.3496812,2634569.916416901,1804.9212121212122,0.0028218147775501932,0.09937231148372427,2077.4750633981403,1999169.7902097898,1058.3246753246754,0.005231724806128827,0.12395460042495929,2106.01696997759,6055309.523809398,1451.285714285715,0.0021464767525800395,0.056928288991888766,2366.0409556313994,3446432.374999999,968.6666666666664,639616.7783549784,1887.4611111111112,0.004441686538318115,0.07862438261495884,683.976488075481,6468291.957292708,3140.602397602398,0.004351877934272301,2385.2183650615902,4421639.610389611,1736.3818181818183,2260000.0,-588.6545454545205,0.0035950884955752212,0.08245044247787611,1960.1040763226365,5633550.89090909,1488.4255411255413,0.002435158640226629,0.05892760786395213,2510.1354871817093,4210357.142857142,2734.2142857142617
2027,555128633.9803828,41573.05920745921,83.24449329277083,57.542973118381425,43.71696935,31.3496812,2521024.04761903,2033.8969696969698,0.002961090837059273,0.10865913382693129,2077.4750633981403,2339039.7712287707,1235.2407592407592,0.005904835480058101,0.14874838355922004,2159.549478401934,8100645.0216448475,1575.9642857142865,0.0021038393425109854,0.060474882171945216,2366.0409556313994,3955682.232142856,1005.0714285714283,-239959.34112554207,2017.844444444445,0.004931011486774008,0.08674263328196356,364.3440068090704,7197547.511738263,3629.9400599400606,0.004351877934272301,2385.2183650615902,4873936.313686315,1866.6454545454549,2260000.0,-1787.8083916083626,0.0035950884955752212,0.08245044247787611,1960.1040763226365,6478566.048484847,1710.005194805195,0.002435158640226629,0.06265358518651451,2237.8374080746503,4646071.428571427,3530.3744588744253
2028,562864216.9630213,46341.524475524486,86.16079711336054,59.40301862423763,43.71696935,31.3496812,2296955.824841802,2274.9939393939394,0.0031003668965683523,0.11794595617013834,2077.4750633981403,2705506.541458541,1425.8831168831168,0.0066420214886157986,0.17716712264049442,2213.081986826278,10747056.277056046,1700.642857142858,0.0020612019324419313,0.06402147535200167,2366.0409556313994,4498042.434523808,1031.0952380952376,-1256023.5298701318,2148.227777777778,0.005420336435229901,0.09534911477842227,44.71152554265973,7963936.972777224,4156.362637362638,0.004351877934272301,2385.2183650615902,5344437.312687313,1996.909090909091,2260000.0,-3402.1790209789824,0.0035950884955752212,0.08245044247787611,1960.1040763226365,7382766.4863636345,1946.3532467532473,0.002435158640226629,0.0663795625090769,1965.5393289675912,5099166.666666664,4552.783549783505
2029,570558063.5498974,51455.183216783225,89.63181262837338,61.26306413009383,43.71696935,31.3496812,1949110.1385281135,2528.212121212121,0.0032396429560774317,0.12723277851334538,2077.4750633981403,3098570.100899101,1630.2517482517483,0.007443282831801923,0.20941452069671648,2266.614495250622,14078331.168830875,1825.3214285714296,0.0020185645223728776,0.06756806853205813,2366.0409556313994,5073512.982142855,1046.7380952380945,-2408575.787878791,2278.6111111111113,0.005909661383685793,0.10444382710433493,-274.92095572375183,8767460.340409592,4719.870129870132,0.004351877934272301,2385.2183650615902,5833142.607392609,2127.1727272727276,2260000.0,-5486.465734265675,0.0035950884955752212,0.08245044247787611,1960.1040763226365,8346152.204545452,2197.4696969696975,0.002435158640226629,0.0701055398316393,1693.2412498605327,5569642.857142855,5831.244588744531
2030,578210173.7410116,56914.03543123545,93.69458065314873,63.12310963595004,43.71696935,31.3496812,1464231.8791208502,2793.5515151515156,0.0033789190155865114,0.13651960085655243,2077.4750633981403,3518230.4495504494,1848.3466533466533,0.00830861950961647,0.24569428075582045,2320.147003674966,18178257.5757572,1950.000000000001,0.0019759271123038235,0.07111466171211459,2366.0409556313994,5682093.874999998,1051.9999999999993,-3697616.115151519,2408.9944444444445,0.006398986332141686,0.11402677025970158,-594.5534369901625,9608117.614635367,5320.462537462538,0.004351877934272301,2385.2183650615902,6340052.197802199,2257.436363636364,2260000.0,-8095.367832167761,0.0035950884955752212,0.08245044247787611,1960.1040763226365,9368723.2030303,2463.354545454546,0.002435158640226629,0.07383151715420168,1420.9431707534736,6057499.999999997,7395.560606060534
