company,metric,year,workbook_value,index_2017
annapurna,AverageLoanSize,2017,0.0012751752444864811,1.0
annapurna,AverageLoanSize,2018,0.0017296563048600588,1.3564067467108016
annapurna,AverageLoanSize,2019,0.0020353921961105445,1.5961666483967905
annapurna,AverageLoanSize,2020,0.0021410492452730136,1.6790235338478703
annapurna,AverageLoanSize,2021,0.0015039783176008217,1.179428728799139
annapurna,AverageLoanSize,2022,0.002125888161786869,1.6671341221362665
annapurna,AverageLoanSize,2023,0.0028348184222915115,2.22308144276523
annapurna,ExpensePerBorrower,2017,0.00024229140988037696,1.0
annapurna,ExpensePerBorrower,2018,0.03533738727613758,145.84663688070577
annapurna,ExpensePerBorrower,2019,0.04587969785733622,189.35750912501496
annapurna,ExpensePerBorrower,2020,0.05561824436242632,229.55103686872727
annapurna,ExpensePerBorrower,2021,0.061101892772136734,252.18348765358084
annapurna,ExpensePerBorrower,2022,0.049779811014890284,205.4542958805983
annapurna,ExpensePerBorrower,2023,0.06386458950877118,263.58585944215736
annapurna,BorrowersPerBranch,2017,3657.491869918699,1.0
annapurna,BorrowersPerBranch,2018,3204.5561497326203,0.8761622072460965
annapurna,BorrowersPerBranch,2019,2598.7491228070176,0.7105276553532801
annapurna,BorrowersPerBranch,2020,2442.636490250696,0.6678446807606964
annapurna,BorrowersPerBranch,2021,2123.8689655172416,0.5806900031645053
annapurna,BorrowersPerBranch,2022,2353.392276422764,0.643444294648583
annapurna,BorrowersPerBranch,2023,2077.4750633981403,0.5680053810876468
chaitanya,AverageLoanSize,2017,0.0022720917225950783,1.0
chaitanya,AverageLoanSize,2018,0.0020054610246363173,0.8826496768122425
chaitanya,AverageLoanSize,2019,0.0023768115942028986,1.0460896321070234
chaitanya,AverageLoanSize,2020,0.002722405397120319,1.198193440012586
chaitanya,AverageLoanSize,2021,0.0025037894982315677,1.1019755379293645
chaitanya,AverageLoanSize,2022,0.003258037037037037,1.4339372854700856
chaitanya,AverageLoanSize,2023,0.0036407664233576646,1.602385320606401
chaitanya,ExpensePerBorrower,2017,0.037189944013329604,1.0
chaitanya,ExpensePerBorrower,2018,0.033579543526217545,0.9029199805781364
chaitanya,ExpensePerBorrower,2019,0.029179246376811595,0.7846004383968199
chaitanya,ExpensePerBorrower,2020,0.03932243488190874,1.0573405237667153
chaitanya,ExpensePerBorrower,2021,0.04053418321738117,1.0899232115771114
chaitanya,ExpensePerBorrower,2022,0.07043156790123457,1.893833663099641
chaitanya,ExpensePerBorrower,2023,0.0637254306569343,1.7135124116910168
chaitanya,BorrowersPerBranch,2017,1505.6842105263158,1.0
chaitanya,BorrowersPerBranch,2018,1788.2206896551725,1.1876465710097972
chaitanya,BorrowersPerBranch,2019,1960.2272727272727,1.3018847239170226
chaitanya,BorrowersPerBranch,2020,1818.463829787234,1.2077325491456044
chaitanya,BorrowersPerBranch,2021,1871.2,1.2427572706935124
chaitanya,BorrowersPerBranch,2022,1708.860759493671,1.1349396822699855
chaitanya,BorrowersPerBranch,2023,1921.4586255259467,1.2761365312147996
muthoot,AverageLoanSize,2017,0.0026517124183006533,1.0
muthoot,AverageLoanSize,2018,0.002509338842975207,0.9463088175237772
muthoot,AverageLoanSize,2019,0.0028574608150470217,1.077590765622398
muthoot,AverageLoanSize,2020,0.002167941582580988,0.8175628577288598
muthoot,AverageLoanSize,2021,0.0014206734913793104,0.5357570004856512
muthoot,AverageLoanSize,2022,0.0022657045343734764,0.8544307138047234
muthoot,AverageLoanSize,2023,0.0029226361341507393,1.1021693430932857
muthoot,ExpensePerBorrower,2017,0.02439512703267974,1.0
muthoot,ExpensePerBorrower,2018,0.039354380165289256,1.6132066093597333
muthoot,ExpensePerBorrower,2019,0.030087962382445144,1.2333595288165244
muthoot,ExpensePerBorrower,2020,0.04498332448220924,1.8439471301768395
muthoot,ExpensePerBorrower,2021,0.037027262931034484,1.5178139011710299
muthoot,ExpensePerBorrower,2022,0.0379434422233057,1.555369733163374
muthoot,ExpensePerBorrower,2023,0.044481572304363504,1.823379408714533
muthoot,BorrowersPerBranch,2017,1917.2932330827068,1.0
muthoot,BorrowersPerBranch,2018,2591.0064239828694,1.3513876642734182
muthoot,BorrowersPerBranch,2019,2863.5547576301615,1.4935403245678882
muthoot,BorrowersPerBranch,2020,2721.098265895954,1.4192394877025956
muthoot,BorrowersPerBranch,2021,2458.2781456953644,1.2821607583430723
muthoot,BorrowersPerBranch,2022,2266.2983425414363,1.1820301159137687
muthoot,BorrowersPerBranch,2023,2366.0409556313994,1.2340527337214748
satin,AverageLoanSize,2017,0.0002930830188679245,1.0
satin,AverageLoanSize,2018,0.00034636524822695034,1.1817991010357276
satin,AverageLoanSize,2019,0.00043594010300332706,1.4874287315833197
satin,AverageLoanSize,2020,0.0004547972031059575,1.5517692047211653
satin,AverageLoanSize,2021,0.0015176944507190725,5.17837729589857
satin,AverageLoanSize,2022,0.0030112504227567407,10.27439404162046
satin,AverageLoanSize,2023,0.0037275618374558303,12.718450396253171
satin,ExpensePerBorrower,2017,0.027652075471698113,1.0
satin,ExpensePerBorrower,2018,0.03014636170212766,1.0902024961194123
satin,ExpensePerBorrower,2019,0.033890774309302714,1.2256141259266382
satin,ExpensePerBorrower,2020,0.03855944308850446,1.3944502331468764
satin,ExpensePerBorrower,2021,0.048295986747985846,1.7465591976058639
satin,ExpensePerBorrower,2022,0.05422954366720589,1.961138277765436
satin,ExpensePerBorrower,2023,0.05425402473498234,1.9620236025506044
satin,BorrowersPerBranch,2017,3455.019556714472,1.0
satin,BorrowersPerBranch,2018,2834.170854271357,0.8203053000853323
satin,BorrowersPerBranch,2019,2708.1745485812553,0.7838376900988011
satin,BorrowersPerBranch,2020,2227.2407809110628,0.6446391241353906
satin,BorrowersPerBranch,2021,2113.126491646778,0.6116105732426712
satin,BorrowersPerBranch,2022,2005.0081699346406,0.5803174589961771
satin,BorrowersPerBranch,2023,2200.6220839813373,0.6369347692127115
creditaccess,AverageLoanSize,2017,0.0023461592031430783,1.0
creditaccess,AverageLoanSize,2018,0.003285065174977476,1.4001885168647437
creditaccess,AverageLoanSize,2019,0.0033286407159662766,1.4187616558616303
creditaccess,AverageLoanSize,2020,0.0035762723766590157,1.5243093358148894
creditaccess,AverageLoanSize,2021,0.0028161636828644503,1.2003293208285786
creditaccess,AverageLoanSize,2022,0.004048769633507854,1.7257011493865548
creditaccess,AverageLoanSize,2023,0.004351877934272301,1.854894556363533
creditaccess,ExpensePerBorrower,2017,0.04086573931702312,1.0
creditaccess,ExpensePerBorrower,2018,0.036857189773373,0.9019092861001953
creditaccess,ExpensePerBorrower,2019,0.021997807952508608,0.5382946282179496
creditaccess,ExpensePerBorrower,2020,0.027042005675661163,0.6617280423064923
creditaccess,ExpensePerBorrower,2021,0.04697826086956522,1.1495756997107809
creditaccess,ExpensePerBorrower,2022,0.06401492146596859,1.5664691875353491
creditaccess,ExpensePerBorrower,2023,0.07590305164319248,1.857376200987367
creditaccess,BorrowersPerBranch,2017,3690.325699745547,1.0
creditaccess,BorrowersPerBranch,2018,3587.8372093023254,0.9722277926714468
creditaccess,BorrowersPerBranch,2019,3686.323880597015,0.9989155918815491
creditaccess,BorrowersPerBranch,2020,3127.0570505920346,0.8473661419119861
creditaccess,BorrowersPerBranch,2021,2745.7865168539324,0.7440499132754754
creditaccess,BorrowersPerBranch,2022,2336.3914373088687,0.6331125291921974
creditaccess,BorrowersPerBranch,2023,2385.2183650615902,0.6463435910890072
spandanassphoorty,AverageLoanSize,2017,0.0019262581852198316,1.0
spandanassphoorty,AverageLoanSize,2018,0.003133165195460277,1.6265551624912156
spandanassphoorty,AverageLoanSize,2019,0.0033309862671660425,1.7292522325016872
spandanassphoorty,AverageLoanSize,2020,0.0030802433187076188,1.5990812354970423
spandanassphoorty,AverageLoanSize,2021,0.002570164348925411,1.3342782232653274
spandanassphoorty,AverageLoanSize,2022,0.0013658071397257734,0.709046767565015
spandanassphoorty,AverageLoanSize,2023,0.0035950884955752212,1.8663585822296904
spandanassphoorty,ExpensePerBorrower,2017,0.03230039598690365,1.0
